SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.1MJIX.0326	19	1049	13	132	98	473	10	1	218	188	1	70	0	248	32	193	82	47	0	327	24	22	102	10	55	94	70	31	872	45	75	1
GTEX.1MUQO.1226	0	249	0	40	90	3	2997	39	370	141	194	32	3	104	39	24	16	16	0	141	948	2	35	830	0	2259	4	1682	16	90	209	11
GTEX.1N2EF.2826	224	741	82	710	271	834	17	112	132	1517	10	247	10	455	128	963	607	106	0	442	94	201	139	16	660	55	472	25	713	132	238	9
GTEX.1NV8Z.1526	1683	189	549	404	621	1044	24	75	24	1514	0	268	30	333	36	169	1083	39	0	474	59	797	160	2	1151	2	983	46	492	298	43	0
GTEX.1O97I.0826	107	343	38	322	255	384	19	6	130	999	2	341	0	500	90	269	459	48	0	256	80	429	237	21	246	33	158	114	578	59	433	3
GTEX.1O9I2.1126	28	925	7	496	174	289	8	9	212	162	0	64	0	194	51	342	216	27	0	181	130	89	591	15	32	20	18	56	511	114	381	0
GTEX.1OFPY.1026	1	423	0	52	80	27	580	101	409	226	587	50	5	263	179	48	43	12	0	418	388	18	60	517	0	464	5	1121	66	66	37	97
GTEX.1OKEX.0726	10	912	3	246	213	533	1508	208	574	1294	621	192	98	825	414	306	183	115	0	941	626	66	173	436	15	193	283	1148	96	203	50	371
GTEX.1POEN.0626	210	664	125	670	308	574	21	91	307	569	5	163	31	1182	132	680	387	70	0	413	107	412	479	45	507	69	397	321	387	123	405	14
GTEX.1PPGY.1126	0	3614	0	922	143	82	31	26	263	44	1	181	3	535	32	1320	73	17	0	466	164	19	402	68	0	181	4	66	1092	75	1302	1
GTEX.1PPH7.2026	186	85	44	282	157	518	2	572	44	100	1	268	658	137	72	637	291	184	0	113	48	173	256	23	426	7	125	30	214	1359	59	2
GTEX.1PWST.1026	241	219	7	90	179	3990	6	14	103	121	17	466	2	146	605	33	356	32	0	1079	63	43	127	50	945	2	125	0	273	177	3	0
GTEX.1QCLZ.0926	0	132	0	60	83	0	3266	79	399	57	38	38	17	4	8	18	5	18	0	70	781	0	11	198	0	4347	0	450	2	184	181	0
GTEX.1QP29.1526	183	1365	2	395	342	2067	14	58	150	770	3	269	7	376	46	181	738	57	0	761	31	54	163	1	649	16	66	16	1755	143	125	0
GTEX.1QP2A.1126	25	1490	0	868	448	57	5	61	90	115	0	56	16	326	16	361	221	16	0	94	16	223	43	4	29	25	7	52	3107	138	701	0
GTEX.1QPFJ.1026	0	17	0	3	22	7	837	79	292	8	1960	57	32	14	262	1	5	29	0	85	339	3	11	1347	0	524	2	349	3	150	12	114
GTEX.1R7EV.0326	0	12	0	32	64	0	4928	229	268	7	85	87	194	2	56	42	6	32	0	201	1315	5	33	1212	0	728	0	825	2	165	146	50
GTEX.1R9JW.0526	1	270	4	33	63	15	347	62	418	2	264	107	47	11	615	22	14	69	0	143	1381	45	117	2487	0	2762	55	527	4	153	372	673
GTEX.1R9K4.1326	1	544	1	2273	384	3	7	5	262	11	0	179	0	22	61	1111	35	49	0	177	576	14	137	55	0	30	2	97	320	174	1241	2
GTEX.1R9K5.1326	157	1220	60	669	201	89	6	75	309	49	4	217	18	511	616	461	303	76	0	207	65	264	424	39	65	103	51	62	2372	79	903	3
GTEX.1R9PO.0326	515	53	871	450	275	888	2	10	102	65	4	193	2	133	421	697	442	75	0	70	60	985	628	30	1674	2	1813	12	37	223	37	62
GTEX.1RAZS.0826	318	127	232	160	197	251	0	155	106	100	0	106	235	637	62	113	1118	27	0	61	16	2345	836	60	38	4	112	4	673	87	90	4
GTEX.1RB15.0326	57	14	476	21	45	26	92	236	192	103	34	3	337	325	345	10	29	417	0	23	513	186	20	182	16	87	788	774	6	118	33	953
GTEX.1RMOY.0626	6	1	0	32	92	4	1346	0	168	112	186	24	0	16	129	56	26	11	0	31	541	38	26	552	0	124	2	526	0	45	44	190
GTEX.1S3DN.0726	11	359	0	337	91	100	68	288	136	60	6	96	193	234	41	1026	118	114	0	74	177	109	485	341	11	384	20	324	65	104	574	8
